endDate,id,issn,startDate,state,title,troveUrl,num_operating_years
1951-08-17,1210,22061797,1949-09-08,Queensland,"The South Coast Express (Surfers Paradise, Qld. : 1949 - 1951)",https://trove.nla.gov.au/ndp/del/title/1210,2
1904-12-23,1065,22051341,1878-07-17,Queensland,The St. George Standard and Balonne Advertiser (Qld. : 1878 - 1879; 1902 - 1904),https://trove.nla.gov.au/ndp/del/title/1065,26
1947-12-31,840,2203790X,1872-10-01,Queensland,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",https://trove.nla.gov.au/ndp/del/title/840,75
1875-11-20,1056,22051473,1861-07-11,Queensland,The Toowoomba Chronicle and Queensland Advertiser (Qld. : 1861 - 1875),https://trove.nla.gov.au/ndp/del/title/1056,14
1934-06-27,891,22045058,1876-01-01,Queensland,"The Week (Brisbane, Qld. : 1876 - 1934)",https://trove.nla.gov.au/ndp/del/title/891,58
1937-02-13,267,18396852,1922-02-18,Queensland,"The Western Champion (Barcaldine, Qld. : 1922 - 1937)",https://trove.nla.gov.au/ndp/del/title/267,15
1891-12-29,265,18397220,1879-07-26,Queensland,"The Western Champion (Blackall/Barcaldine, Qld. : 1879 - 1891)",https://trove.nla.gov.au/ndp/del/title/265,12
1922-02-11,266,18396844,1892-01-26,Queensland,"The Western Champion and General Advertiser for the Central-Western Districts (Barcaldine, Qld. : 1892 - 1922)",https://trove.nla.gov.au/ndp/del/title/266,30
1922-10-31,1482,22090819,1917-01-02,Queensland,Toowoomba Chronicle (Qld. : 1917 - 1922),https://trove.nla.gov.au/ndp/del/title/1482,5
1933-12-30,1481,22090835,1922-11-01,Queensland,Toowoomba Chronicle and Darling Downs Gazette (Qld. : 1922 - 1933),https://trove.nla.gov.au/ndp/del/title/1481,11
1902-06-28,1057,22052038,1875-11-23,Queensland,Toowoomba Chronicle and Darling Downs General Advertiser (Qld. : 1875 - 1902),https://trove.nla.gov.au/ndp/del/title/1057,27
2015-12-21,1489,26518678,1957-03-19,Queensland,"Torres News (Thursday Island, Qld. : 1957-2015)",https://trove.nla.gov.au/ndp/del/title/1489,58
1955-01-31,97,08159726,1907-07-01,Queensland,Townsville Daily Bulletin (Qld. : 1907 - 1954),https://trove.nla.gov.au/ndp/del/title/97,48
1954-12-26,942,22046410,1900-09-16,Queensland,"Truth (Brisbane, Qld. : 1900 - 1954)",https://trove.nla.gov.au/ndp/del/title/942,54
1901-12-31,261,18396836,1879-08-26,Queensland,Warwick Argus (Qld. : 1879 - 1901),https://trove.nla.gov.au/ndp/del/title/261,22
1879-08-21,260,18396828,1866-02-10,Queensland,Warwick Argus and Tenterfield Chronicle (Qld. : 1866 - 1879),https://trove.nla.gov.au/ndp/del/title/260,13
1954-12-31,892,22045066,1919-02-01,Queensland,Warwick Daily News (Qld. : 1919 -1954),https://trove.nla.gov.au/ndp/del/title/892,35
1919-01-29,259,1839681X,1867-03-08,Queensland,Warwick Examiner and Times (Qld. : 1867 - 1919),https://trove.nla.gov.au/ndp/del/title/259,52
1954-12-31,408,18367844,1948-11-05,Queensland,"Western Star (Roma) (Toowoomba, Qld. : 1948 - 1954)",https://trove.nla.gov.au/ndp/del/title/408,6
1948-10-29,374,22007393,1875-03-27,Queensland,"Western Star and Roma Advertiser (Toowoomba, Qld. : 1875 - 1948)",https://trove.nla.gov.au/ndp/del/title/374,73
1955-12-26,191,00438065,1890-03-01,Queensland,"Worker (Brisbane, Qld. : 1890 - 1955)",https://trove.nla.gov.au/ndp/del/title/191,65
